,cocoId,cocoSplit,cropBox,loss,nsdId,flagged,BOLD5000,shared1000,subject1_rep0,subject1_rep1,subject1_rep2,subject2_rep0,subject2_rep1,subject2_rep2,subject3_rep0,subject3_rep1,subject3_rep2,subject4_rep0,subject4_rep1,subject4_rep2,subject5_rep0,subject5_rep1,subject5_rep2,subject6_rep0,subject6_rep1,subject6_rep2,subject7_rep0,subject7_rep1,subject7_rep2,subject8_rep0,subject8_rep1,subject8_rep2,coco_label,category,supercategory
21989,57796,train2017,"(0, 0, 0.16640625, 0.16640625)",0.0,21989,False,True,True,1634,8416,24155,1634,8416,24155,1634,8416,24155,1634,8416,24155,1634,8416,24155,1634,8416,24155,1634,8416,24155,1634,8416,24155,1,person,person
22138,320533,train2017,"(0.125, 0.125, 0, 0)",0.0,22138,False,True,True,16502,20796,23009,16502,20796,23009,16502,20796,23009,16502,20796,23009,16502,20796,23009,16502,20796,23009,16502,20796,23009,16502,20796,23009,25,giraffe,animal
22143,58407,train2017,"(0, 0, 0.10625, 0.10625)",0.0,22143,False,True,True,8409,13844,26147,8409,13844,26147,8409,13844,26147,8409,13844,26147,8409,13844,26147,8409,13844,26147,8409,13844,26147,8409,13844,26147,47,cup,kitchen
22155,58465,train2017,"(0, 0, 0.125, 0.125)",0.0,22155,False,True,True,16853,17119,29160,16853,17119,29160,16853,17119,29160,16853,17119,29160,16853,17119,29160,16853,17119,29160,16853,17119,29160,16853,17119,29160,1,person,person
22263,359337,train2017,"(0, 0, 0.125, 0.125)",0.0,22263,False,True,True,2683,2983,3003,2683,2983,3003,2683,2983,3003,2683,2983,3003,2683,2983,3003,2683,2983,3003,2683,2983,3003,2683,2983,3003,23,bear,animal
22387,59321,train2017,"(0, 0, 0.16640625, 0.16640625)",0.0,22387,False,True,True,11817,16192,22673,11817,16192,22673,11817,16192,22673,11817,16192,22673,11817,16192,22673,11817,16192,22673,11817,16192,22673,11817,16192,22673,85,clock,indoor
22495,321902,train2017,"(0, 0, 0.16796875, 0.16796875)",0.0,22495,False,True,True,2381,19209,20336,2381,19209,20336,2381,19209,20336,2381,19209,20336,2381,19209,20336,2381,19209,20336,2381,19209,20336,2381,19209,20336,59,pizza,food
22505,403184,train2017,"(0, 0, 0.12421875, 0.12421875)",0.0,22505,False,True,True,8351,28068,28210,8351,28068,28210,8351,28068,28210,8351,28068,28210,8351,28068,28210,8351,28068,28210,8351,28068,28210,8351,28068,28210,1,person,person
22515,322008,train2017,"(0, 0, 0.16640625, 0.16640625)",0.0,22515,False,True,True,908,1080,5629,908,1080,5629,908,1080,5629,908,1080,5629,908,1080,5629,908,1080,5629,908,1080,5629,908,1080,5629,46,wine glass,kitchen
22523,9983,train2017,"(0, 0, 0.16640625, 0.16640625)",0.0,22523,False,True,True,10545,10821,10866,10545,10821,10866,10545,10821,10866,10545,10821,10866,10545,10821,10866,10545,10821,10866,10545,10821,10866,10545,10821,10866,1,person,person
22530,9987,train2017,"(0, 0, 0.1671875, 0.1671875)",0.0,22530,False,True,True,9484,9595,9671,9484,9595,9671,9484,9595,9671,9484,9595,9671,9484,9595,9671,9484,9595,9671,9484,9595,9671,9484,9595,9671,1,person,person
22585,322246,train2017,"(0, 0, 0.125, 0.125)",0.0,22585,False,True,True,15480,15817,27239,15480,15817,27239,15480,15817,27239,15480,15817,27239,15480,15817,27239,15480,15817,27239,15480,15817,27239,15480,15817,27239,17,cat,animal
22587,322255,train2017,"(0, 0.2859375, 0, 0)",0.0,22587,False,True,True,2561,3213,18974,2561,3213,18974,2561,3213,18974,2561,3213,18974,2561,3213,18974,2561,3213,18974,2561,3213,18974,2561,3213,18974,1,person,person
22772,323010,train2017,"(0, 0, 0.16640625, 0.16640625)",0.0,22772,False,True,True,17331,17410,23976,17331,17410,23976,17331,17410,23976,17331,17410,23976,17331,17410,23976,17331,17410,23976,17331,17410,23976,17331,17410,23976,1,person,person
22782,53842,train2017,"(0.1265625, 0.1265625, 0, 0)",0.0,22782,False,True,True,999,4108,26055,999,4108,26055,999,4108,26055,999,4108,26055,999,4108,26055,999,4108,26055,999,4108,26055,999,4108,26055,85,clock,indoor
22794,359687,train2017,"(0, 0, 0.121875, 0.121875)",0.0,22794,False,True,True,11697,11979,13922,11697,11979,13922,11697,11979,13922,11697,11979,13922,11697,11979,13922,11697,11979,13922,11697,11979,13922,11697,11979,13922,9,boat,vehicle
22809,323182,train2017,"(0.09765625, 0.09765625, 0, 0)",0.0,22809,False,True,True,18650,23635,23636,18650,23635,23636,18650,23635,23636,18650,23635,23636,18650,23635,23636,18650,23635,23636,18650,23635,23636,18650,23635,23636,85,clock,indoor
22845,61174,train2017,"(0.16640625, 0.16640625, 0, 0)",0.0,22845,False,True,True,19481,19919,26584,19481,19919,26584,19481,19919,26584,19481,19919,26584,19481,19919,26584,19481,19919,26584,19481,19919,26584,19481,19919,26584,25,giraffe,animal
22873,323397,train2017,"(0, 0, 0.1671875, 0.1671875)",0.0,22873,False,True,True,5976,14996,28430,5976,14996,28430,5976,14996,28430,5976,14996,28430,5976,14996,28430,5976,14996,28430,5976,14996,28430,5976,14996,28430,1,person,person
22879,61266,train2017,"(0, 0, 0.125, 0.125)",0.0,22879,False,True,True,2342,8284,10211,2342,8284,10211,2342,8284,10211,2342,8284,10211,2342,8284,10211,2342,8284,10211,2342,8284,10211,2342,8284,10211,1,person,person
22886,61288,train2017,"(0, 0.33125, 0, 0)",0.0,22886,False,True,True,2341,19194,23372,2341,19194,23372,2341,19194,23372,2341,19194,23372,2341,19194,23372,2341,19194,23372,2341,19194,23372,2341,19194,23372,1,person,person
22957,61559,train2017,"(0, 0, 0.16640625, 0.16640625)",0.0,22957,False,True,True,13809,19543,20166,13809,19543,20166,13809,19543,20166,13809,19543,20166,13809,19543,20166,13809,19543,20166,13809,19543,20166,13809,19543,20166,7,train,vehicle
22967,534553,train2017,"(0, 0, 0.16640625, 0.16640625)",0.0,22967,False,True,True,1983,2087,10298,1983,2087,10298,1983,2087,10298,1983,2087,10298,1983,2087,10298,1983,2087,10298,1983,2087,10298,1983,2087,10298,16,bird,animal
22993,490875,train2017,"(0, 0, 0.16640625, 0.16640625)",0.0588235294117647,22993,False,True,True,14201,19995,20174,14201,19995,20174,14201,19995,20174,14201,19995,20174,14201,19995,20174,14201,19995,20174,14201,19995,20174,14201,19995,20174,1,person,person
23036,323970,train2017,"(0, 0, 0.16640625, 0.16640625)",0.0,23036,False,True,True,3076,8247,15682,3076,8247,15682,3076,8247,15682,3076,8247,15682,3076,8247,15682,3076,8247,15682,3076,8247,15682,3076,8247,15682,25,giraffe,animal
23241,62547,train2017,"(0, 0, 0.125, 0.125)",0.05,23241,False,True,True,18673,18701,18713,18673,18701,18713,18673,18701,18713,18673,18701,18713,18673,18701,18713,18673,18701,18713,18673,18701,18713,18673,18701,18713,1,person,person
23492,325710,train2017,"(0, 0, 0.125, 0.125)",0.0,23492,False,True,True,12960,16689,26476,12960,16689,26476,12960,16689,26476,12960,16689,26476,12960,16689,26476,12960,16689,26476,12960,16689,26476,12960,16689,26476,1,person,person
23715,10743,train2017,"(0, 0, 0.16640625, 0.16640625)",0.0,23715,False,True,True,2717,6441,6523,2717,6441,6523,2717,6441,6523,2717,6441,6523,2717,6441,6523,2717,6441,6523,2717,6441,6523,2717,6441,6523,1,person,person
23729,64534,train2017,"(0, 0, 0.125, 0.125)",0.0,23729,False,True,True,3989,4075,20104,3989,4075,20104,3989,4075,20104,3989,4075,20104,3989,4075,20104,3989,4075,20104,3989,4075,20104,3989,4075,20104,1,person,person
23871,65012,train2017,"(0, 0, 0.16796875, 0.16796875)",0.1428571428571428,23871,False,True,True,11940,12209,26890,11940,12209,26890,11940,12209,26890,11940,12209,26890,11940,12209,26890,11940,12209,26890,11940,12209,26890,11940,12209,26890,1,person,person
23876,65029,train2017,"(0, 0.2578125, 0, 0)",0.0,23876,False,True,True,22478,22614,22806,22478,22614,22806,22478,22614,22806,22478,22614,22806,22478,22614,22806,22478,22614,22806,22478,22614,22806,22478,22614,22806,1,person,person
23883,327191,train2017,"(0, 0, 0.16640625, 0.16640625)",0.0,23883,False,True,True,22708,22875,22886,22708,22875,22886,22708,22875,22886,22708,22875,22886,22708,22875,22886,22708,22875,22886,22708,22875,22886,22708,22875,22886,81,sink,appliance
23993,65400,train2017,"(0, 0, 0.16640625, 0.16640625)",0.0,23993,False,True,True,20925,21129,21475,20925,21129,21475,20925,21129,21475,20925,21129,21475,20925,21129,21475,20925,21129,21475,20925,21129,21475,20925,21129,21475,1,person,person
24202,66253,train2017,"(0, 0, 0.125, 0.125)",0.0,24202,False,True,True,3380,5932,6136,3380,5932,6136,3380,5932,6136,3380,5932,6136,3380,5932,6136,3380,5932,6136,3380,5932,6136,3380,5932,6136,17,cat,animal
24214,328454,train2017,"(0.0625, 0.0625, 0, 0)",0.0,24214,False,True,True,7070,10207,18782,7070,10207,18782,7070,10207,18782,7070,10207,18782,7070,10207,18782,7070,10207,18782,7070,10207,18782,7070,10207,18782,25,giraffe,animal
24264,328628,train2017,"(0, 0, 0.0, 0.0)",0.0,24264,False,True,True,5842,20014,25005,5842,20014,25005,5842,20014,25005,5842,20014,25005,5842,20014,25005,5842,20014,25005,5842,20014,25005,5842,20014,25005,1,person,person
24317,66696,train2017,"(0, 0, 0.16640625, 0.16640625)",0.0,24317,False,True,True,5946,23293,23395,5946,23293,23395,5946,23293,23395,5946,23293,23395,5946,23293,23395,5946,23293,23395,5946,23293,23395,5946,23293,23395,63,couch,furniture
24480,67347,train2017,"(0, 0, 0.16640625, 0.16640625)",0.0,24480,False,True,True,761,22993,25464,761,22993,25464,761,22993,25464,761,22993,25464,761,22993,25464,761,22993,25464,761,22993,25464,761,22993,25464,1,person,person
24517,281575,train2017,"(0, 0, 0.16640625, 0.16640625)",0.0,24517,False,True,True,6244,6250,6553,6244,6250,6553,6244,6250,6553,6244,6250,6553,6244,6250,6553,6244,6250,6553,6244,6250,6553,6244,6250,6553,1,person,person
24530,329641,train2017,"(0, 0, 0.125, 0.125)",0.0,24530,False,True,True,17435,17686,17708,17435,17686,17708,17435,17686,17708,17435,17686,17708,17435,17686,17708,17435,17686,17708,17435,17686,17708,17435,17686,17708,17,cat,animal
24560,67623,train2017,"(0, 0, 0.125, 0.125)",0.0,24560,False,True,True,15180,15555,20682,15180,15555,20682,15180,15555,20682,15180,15555,20682,15180,15555,20682,15180,15555,20682,15180,15555,20682,15180,15555,20682,3,car,vehicle
24638,330084,train2017,"(0, 0, 0.1671875, 0.1671875)",0.0,24638,False,True,True,15641,15668,24336,15641,15668,24336,15641,15668,24336,15641,15668,24336,15641,15668,24336,15641,15668,24336,15641,15668,24336,15641,15668,24336,23,bear,animal
24640,330086,train2017,"(0, 0, 0.125, 0.125)",0.0,24640,False,True,True,10737,14519,21334,10737,14519,21334,10737,14519,21334,10737,14519,21334,10737,14519,21334,10737,14519,21334,10737,14519,21334,10737,14519,21334,1,person,person
24649,67961,train2017,"(0, 0, 0.1671875, 0.1671875)",0.0,24649,False,True,True,13119,15056,27664,13119,15056,27664,13119,15056,27664,13119,15056,27664,13119,15056,27664,13119,15056,27664,13119,15056,27664,13119,15056,27664,56,broccoli,food
24739,68238,train2017,"(0, 0, 0.1671875, 0.1671875)",0.0,24739,False,True,True,12511,12799,26598,12511,12799,26598,12511,12799,26598,12511,12799,26598,12511,12799,26598,12511,12799,26598,12511,12799,26598,12511,12799,26598,15,bench,outdoor
24740,11373,train2017,"(0, 0, 0.125, 0.125)",0.0,24740,False,True,True,16617,23234,23881,16617,23234,23881,16617,23234,23881,16617,23234,23881,16617,23234,23881,16617,23234,23881,16617,23234,23881,16617,23234,23881,20,sheep,animal
24787,55090,train2017,"(0, 0.25, 0, 0)",0.0769230769230769,24787,False,True,True,8386,22934,24093,8386,22934,24093,8386,22934,24093,8386,22934,24093,8386,22934,24093,8386,22934,24093,8386,22934,24093,8386,22934,24093,1,person,person
24846,68623,train2017,"(0, 0, 0.125, 0.125)",0.0,24846,False,True,True,9197,9500,22009,9197,9500,22009,9197,9500,22009,9197,9500,22009,9197,9500,22009,9197,9500,22009,9197,9500,22009,9197,9500,22009,22,elephant,animal
25059,246728,train2017,"(0, 0, 0.125, 0.125)",0.0833333333333333,25059,False,True,True,17433,22514,27920,17433,22514,27920,17433,22514,27920,17433,22514,27920,17433,22514,27920,17433,22514,27920,17433,22514,27920,17433,22514,27920,1,person,person
25091,69625,train2017,"(0, 0, 0.1671875, 0.1671875)",0.0,25091,False,True,True,12841,12859,12927,12841,12859,12927,12841,12859,12927,12841,12859,12927,12841,12859,12927,12841,12859,12927,12841,12859,12927,12841,12859,12927,1,person,person
25111,69705,train2017,"(0, 0, 0.16640625, 0.16640625)",0.0,25111,False,True,True,2368,2457,12185,2368,2457,12185,2368,2457,12185,2368,2457,12185,2368,2457,12185,2368,2457,12185,2368,2457,12185,2368,2457,12185,22,elephant,animal
25205,332261,train2017,"(0, 0, 0.16640625, 0.16640625)",0.0,25205,False,True,True,21626,28689,29221,21626,28689,29221,21626,28689,29221,21626,28689,29221,21626,28689,29221,21626,28689,29221,21626,28689,29221,21626,28689,29221,1,person,person
25250,332448,train2017,"(0.16640625, 0.16640625, 0, 0)",0.0,25250,False,True,True,2463,20594,20949,2463,20594,20949,2463,20594,20949,2463,20594,20949,2463,20594,20949,2463,20594,20949,2463,20594,20949,2463,20594,20949,86,vase,indoor
25268,332498,train2017,"(0.14296875, 0.14296875, 0, 0)",0.0,25268,False,True,True,2213,2272,13209,2213,2272,13209,2213,2272,13209,2213,2272,13209,2213,2272,13209,2213,2272,13209,2213,2272,13209,2213,2272,13209,25,giraffe,animal
25284,70421,train2017,"(0.125, 0.125, 0, 0)",0.0,25284,False,True,True,2326,3854,14690,2326,3854,14690,2326,3854,14690,2326,3854,14690,2326,3854,14690,2326,3854,14690,2326,3854,14690,2326,3854,14690,3,car,vehicle
25287,332574,train2017,"(0, 0, 0.125, 0.125)",0.0,25287,False,True,True,256,10241,24558,256,10241,24558,256,10241,24558,256,10241,24558,256,10241,24558,256,10241,24558,256,10241,24558,256,10241,24558,78,microwave,appliance
25318,332692,train2017,"(0, 0, 0.125, 0.125)",0.0,25318,False,True,True,14888,15329,22033,14888,15329,22033,14888,15329,22033,14888,15329,22033,14888,15329,22033,14888,15329,22033,14888,15329,22033,14888,15329,22033,23,bear,animal
25319,2349,train2017,"(0, 0, 0.0109375, 0.0109375)",0.0,25319,False,True,True,6868,22123,22326,6868,22123,22326,6868,22123,22326,6868,22123,22326,6868,22123,22326,6868,22123,22326,6868,22123,22326,6868,22123,22326,17,cat,animal
25371,332875,train2017,"(0, 0, 0.125, 0.125)",0.0357142857142857,25371,False,True,True,12364,21735,22395,12364,21735,22395,12364,21735,22395,12364,21735,22395,12364,21735,22395,12364,21735,22395,12364,21735,22395,12364,21735,22395,1,person,person
25454,333152,train2017,"(0, 0, 0.1, 0.1)",0.0476190476190476,25454,False,True,True,839,27202,27610,839,27202,27610,839,27202,27610,839,27202,27610,839,27202,27610,839,27202,27610,839,27202,27610,839,27202,27610,1,person,person
25570,71429,train2017,"(0, 0, 0.125, 0.125)",0.0,25570,False,True,True,14877,23864,26344,14877,23864,26344,14877,23864,26344,14877,23864,26344,14877,23864,26344,14877,23864,26344,14877,23864,26344,14877,23864,26344,56,broccoli,food
25578,333615,train2017,"(0, 0, 0.15703125, 0.15703125)",0.0,25578,False,True,True,18192,18212,19650,18192,18212,19650,18192,18212,19650,18192,18212,19650,18192,18212,19650,18192,18212,19650,18192,18212,19650,18192,18212,19650,1,person,person
25581,333629,train2017,"(0, 0, 0.125, 0.125)",0.0,25581,False,True,True,10909,10910,11179,10909,10910,11179,10909,10910,11179,10909,10910,11179,10909,10910,11179,10909,10910,11179,10909,10910,11179,10909,10910,11179,1,person,person
25588,333654,train2017,"(0, 0, 0.125, 0.125)",0.0294117647058823,25588,False,True,True,1878,18703,18993,1878,18703,18993,1878,18703,18993,1878,18703,18993,1878,18703,18993,1878,18703,18993,1878,18703,18993,1878,18703,18993,1,person,person
25602,579906,train2017,"(0, 0, 0.16796875, 0.16796875)",0.0,25602,False,True,True,11150,16386,28676,11150,16386,28676,11150,16386,28676,11150,16386,28676,11150,16386,28676,11150,16386,28676,11150,16386,28676,11150,16386,28676,1,person,person
25693,334011,train2017,"(0, 0, 0.13984375, 0.13984375)",0.0,25693,False,True,True,10497,18854,28282,10497,18854,28282,10497,18854,28282,10497,18854,28282,10497,18854,28282,10497,18854,28282,10497,18854,28282,10497,18854,28282,1,person,person
25702,334048,train2017,"(0.115625, 0.115625, 0, 0)",0.0,25702,False,True,True,15148,19303,19435,15148,19303,19435,15148,19303,19435,15148,19303,19435,15148,19303,19435,15148,19303,19435,15148,19303,19435,15148,19303,19435,25,giraffe,animal
25711,71927,train2017,"(0, 0, 0.1265625, 0.1265625)",0.0,25711,False,True,True,25772,25791,28690,25772,25791,28690,25772,25791,28690,25772,25791,28690,25772,25791,28690,25772,25791,28690,25772,25791,28690,25772,25791,28690,1,person,person
25741,334208,train2017,"(0, 0, 0.125, 0.125)",0.0,25741,False,True,True,16900,16950,17123,16900,16950,17123,16900,16950,17123,16900,16950,17123,16900,16950,17123,16900,16950,17123,16900,16950,17123,16900,16950,17123,52,banana,food
25746,72095,train2017,"(0, 0, 0.125, 0.125)",0.0,25746,False,True,True,15292,21984,22267,15292,21984,22267,15292,21984,22267,15292,21984,22267,15292,21984,22267,15292,21984,22267,15292,21984,22267,15292,21984,22267,1,person,person
25881,334772,train2017,"(0, 0, 0.125, 0.125)",0.0,25881,False,True,True,17909,17943,27116,17909,17943,27116,17909,17943,27116,17909,17943,27116,17909,17943,27116,17909,17943,27116,17909,17943,27116,17909,17943,27116,24,zebra,animal
25906,72715,train2017,"(0, 0, 0.16640625, 0.16640625)",0.0,25906,False,True,True,9582,24716,25378,9582,24716,25378,9582,24716,25378,9582,24716,25378,9582,24716,25378,9582,24716,25378,9582,24716,25378,9582,24716,25378,78,microwave,appliance
25959,335063,train2017,"(0, 0, 0.165625, 0.165625)",0.0,25959,False,True,True,177,23342,29746,177,23342,29746,177,23342,29746,177,23342,29746,177,23342,29746,177,23342,29746,177,23342,29746,177,23342,29746,1,person,person
26119,492851,train2017,"(0, 0, 0.125, 0.125)",0.0256410256410256,26119,False,True,True,7578,14574,26625,7578,14574,26625,7578,14574,26625,7578,14574,26625,7578,14574,26625,7578,14574,26625,7578,14574,26625,7578,14574,26625,1,person,person
26127,335688,train2017,"(0.033, 0.033, 0, 0)",0.0,26127,False,True,True,1177,6957,23358,1177,6957,23358,1177,6957,23358,1177,6957,23358,1177,6957,23358,1177,6957,23358,1177,6957,23358,1177,6957,23358,47,cup,kitchen
26163,335824,train2017,"(0, 0, 0.125, 0.125)",0.1,26163,False,True,True,1512,11496,11558,1512,11496,11558,1512,11496,11558,1512,11496,11558,1512,11496,11558,1512,11496,11558,1512,11496,11558,1512,11496,11558,1,person,person
26243,73997,train2017,"(0, 0, 0.165625, 0.165625)",0.0,26243,False,True,True,24455,24630,24651,24455,24630,24651,24455,24630,24651,24455,24630,24651,24455,24630,24651,24455,24630,24651,24455,24630,24651,24455,24630,24651,1,person,person
26292,281567,train2017,"(0, 0, 0.12421875, 0.12421875)",0.0,26292,False,True,True,6292,6314,26227,6292,6314,26227,6292,6314,26227,6292,6314,26227,6292,6314,26227,6292,6314,26227,6292,6314,26227,6292,6314,26227,65,bed,furniture
26307,336374,train2017,"(0, 0, 0.16640625, 0.16640625)",0.0,26307,False,True,True,3904,5858,27496,3904,5858,27496,3904,5858,27496,3904,5858,27496,3904,5858,27496,3904,5858,27496,3904,5858,27496,3904,5858,27496,1,person,person
26351,74390,train2017,"(0, 0, 0.14296875, 0.14296875)",0.0,26351,False,True,True,686,9516,16127,686,9516,16127,686,9516,16127,686,9516,16127,686,9516,16127,686,9516,16127,686,9516,16127,686,9516,16127,16,bird,animal
26372,74461,train2017,"(0, 0.3328125, 0, 0)",0.1428571428571428,26372,False,True,True,9888,16815,29763,9888,16815,29763,9888,16815,29763,9888,16815,29763,9888,16815,29763,9888,16815,29763,9888,16815,29763,9888,16815,29763,1,person,person
26435,74714,train2017,"(0, 0, 0.16484375, 0.16484375)",0.0,26435,False,True,True,1029,5996,18856,1029,5996,18856,1029,5996,18856,1029,5996,18856,1029,5996,18856,1029,5996,18856,1029,5996,18856,1029,5996,18856,1,person,person
26458,74828,train2017,"(0, 0, 0.16640625, 0.16640625)",0.0,26458,False,True,True,1151,1274,17986,1151,1274,17986,1151,1274,17986,1151,1274,17986,1151,1274,17986,1151,1274,17986,1151,1274,17986,1151,1274,17986,16,bird,animal
26598,337479,train2017,"(0, 0, 0.125, 0.125)",0.0,26598,False,True,True,360,9010,27360,360,9010,27360,360,9010,27360,360,9010,27360,360,9010,27360,360,9010,27360,360,9010,27360,360,9010,27360,24,zebra,animal
26720,274776,train2017,"(0, 0, 0.1671875, 0.1671875)",0.0,26720,False,True,True,2748,2921,2964,2748,2921,2964,2748,2921,2964,2748,2921,2964,2748,2921,2964,2748,2921,2964,2748,2921,2964,2748,2921,2964,16,bird,animal
26780,338169,train2017,"(0, 0.3328125, 0, 0)",0.0,26780,False,True,True,7312,16567,26493,7312,16567,26493,7312,16567,26493,7312,16567,26493,7312,16567,26493,7312,16567,26493,7312,16567,26493,7312,16567,26493,1,person,person
26895,76476,train2017,"(0, 0, 0.1671875, 0.1671875)",0.0,26895,False,True,True,10310,15282,15363,10310,15282,15363,10310,15282,15363,10310,15282,15363,10310,15282,15363,10310,15282,15363,10310,15282,15363,10310,15282,15363,3,car,vehicle
26909,338670,train2017,"(0, 0, 0.1421875, 0.1421875)",0.0,26909,False,True,True,16299,19482,19717,16299,19482,19717,16299,19482,19717,16299,19482,19717,16299,19482,19717,16299,19482,19717,16299,19482,19717,16299,19482,19717,1,person,person
26971,12795,train2017,"(0, 0.225, 0, 0)",0.0,26971,False,True,True,18525,24277,26701,18525,24277,26701,18525,24277,26701,18525,24277,26701,18525,24277,26701,18525,24277,26701,18525,24277,26701,18525,24277,26701,1,person,person
26990,338987,train2017,"(0, 0.3328125, 0, 0)",0.0,26990,False,True,True,11745,11761,11829,11745,11761,11829,11745,11761,11829,11745,11761,11829,11745,11761,11829,11745,11761,11829,11745,11761,11829,11745,11761,11829,1,person,person
27242,77870,train2017,"(0.33125, 0.0, 0, 0)",0.0,27242,False,True,True,14073,14136,14330,14073,14136,14330,14073,14136,14330,14073,14136,14330,14073,14136,14330,14073,14136,14330,14073,14136,14330,14073,14136,14330,17,cat,animal
27275,78000,train2017,"(0.16640625, 0.16640625, 0, 0)",0.0,27275,False,True,True,4480,4638,4824,4480,4638,4824,4480,4638,4824,4480,4638,4824,4480,4638,4824,4480,4638,4824,4480,4638,4824,4480,4638,4824,24,zebra,animal
27287,78042,train2017,"(0, 0.3359375, 0, 0)",0.0,27287,False,True,True,12197,12464,24984,12197,12464,24984,12197,12464,24984,12197,12464,24984,12197,12464,24984,12197,12464,24984,12197,12464,24984,12197,12464,24984,1,person,person
27326,340317,train2017,"(0, 0.334375, 0, 0)",0.0,27326,False,True,True,2491,2637,19604,2491,2637,19604,2491,2637,19604,2491,2637,19604,2491,2637,19604,2491,2637,19604,2491,2637,19604,2491,2637,19604,1,person,person
27435,340734,train2017,"(0, 0, 0.125, 0.125)",0.0,27435,False,True,True,6282,6463,19383,6282,6463,19383,6282,6463,19383,6282,6463,19383,6282,6463,19383,6282,6463,19383,6282,6463,19383,6282,6463,19383,8,truck,vehicle
27568,79111,train2017,"(0, 0, 0.16640625, 0.16640625)",0.0,27568,False,True,True,1688,7277,7400,1688,7277,7400,1688,7277,7400,1688,7277,7400,1688,7277,7400,1688,7277,7400,1688,7277,7400,1688,7277,7400,50,spoon,kitchen
27580,275335,train2017,"(0.125, 0.125, 0, 0)",0.0,27580,False,True,True,5524,7948,28514,5524,7948,28514,5524,7948,28514,5524,7948,28514,5524,7948,28514,5524,7948,28514,5524,7948,28514,5524,7948,28514,81,sink,appliance
27830,80084,train2017,"(0, 0, 0.0, 0.0)",0.0,27830,False,True,True,9207,13672,24881,9207,13672,24881,9207,13672,24881,9207,13672,24881,9207,13672,24881,9207,13672,24881,9207,13672,24881,9207,13672,24881,1,person,person
27878,80275,train2017,"(0, 0, 0.16640625, 0.16640625)",0.0,27878,False,True,True,8833,14364,16311,8833,14364,16311,8833,14364,16311,8833,14364,16311,8833,14364,16311,8833,14364,16311,8833,14364,16311,8833,14364,16311,22,elephant,animal
27972,80619,train2017,"(0, 0.3328125, 0, 0)",0.0,27972,False,True,True,9616,10198,24966,9616,10198,24966,9616,10198,24966,9616,10198,24966,9616,10198,24966,9616,10198,24966,9616,10198,24966,9616,10198,24966,1,person,person
28024,8471,train2017,"(0, 0, 0.16796875, 0.16796875)",0.0,28024,False,True,True,1701,7807,26891,1701,7807,26891,1701,7807,26891,1701,7807,26891,1701,7807,26891,1701,7807,26891,1701,7807,26891,1701,7807,26891,5,airplane,vehicle
28068,80987,train2017,"(0, 0, 0.125, 0.125)",0.0,28068,False,True,True,5849,6056,6123,5849,6056,6123,5849,6056,6123,5849,6056,6123,5849,6056,6123,5849,6056,6123,5849,6056,6123,5849,6056,6123,22,elephant,animal
28096,81105,train2017,"(0, 0, 0.16640625, 0.16640625)",0.0,28096,False,True,True,4335,13002,16228,4335,13002,16228,4335,13002,16228,4335,13002,16228,4335,13002,16228,4335,13002,16228,4335,13002,16228,4335,13002,16228,54,sandwich,food
28159,81365,train2017,"(0, 0, 0.125, 0.125)",0.1,28159,False,True,True,3096,6749,13130,3096,6749,13130,3096,6749,13130,3096,6749,13130,3096,6749,13130,3096,6749,13130,3096,6749,13130,3096,6749,13130,56,broccoli,food
28189,81474,train2017,"(0, 0, 0.16640625, 0.16640625)",0.0,28189,False,True,True,16429,16459,16838,16429,16459,16838,16429,16459,16838,16429,16459,16838,16429,16459,16838,16429,16459,16838,16429,16459,16838,16429,16459,16838,22,elephant,animal
28286,81841,train2017,"(0, 0, 0.125, 0.125)",0.0,28286,False,True,True,4058,11273,23666,4058,11273,23666,4058,11273,23666,4058,11273,23666,4058,11273,23666,4058,11273,23666,4058,11273,23666,4058,11273,23666,62,chair,furniture
28303,46372,train2017,"(0, 0, 0.3328125, 0.0)",0.0,28303,False,True,True,22350,22402,22562,22350,22402,22562,22350,22402,22562,22350,22402,22562,22350,22402,22562,22350,22402,22562,22350,22402,22562,22350,22402,22562,1,person,person
28319,81961,train2017,"(0, 0.25, 0, 0)",0.0,28319,False,True,True,11148,13088,13237,11148,13088,13237,11148,13088,13237,11148,13088,13237,11148,13088,13237,11148,13088,13237,11148,13088,13237,11148,13088,13237,1,person,person
28325,81995,train2017,"(0, 0, 0.1046875, 0.1046875)",0.0,28325,False,True,True,14536,16644,28391,14536,16644,28391,14536,16644,28391,14536,16644,28391,14536,16644,28391,14536,16644,28391,14536,16644,28391,14536,16644,28391,1,person,person
28341,450584,train2017,"(0, 0, 0.165625, 0.165625)",0.0,28341,False,True,True,9013,28552,28738,9013,28552,28738,9013,28552,28738,9013,28552,28738,9013,28552,28738,9013,28552,28738,9013,28552,28738,9013,28552,28738,62,chair,furniture
28349,319517,train2017,"(0, 0.3296875, 0, 0)",0.1428571428571428,28349,False,True,True,7884,8078,8309,7884,8078,8309,7884,8078,8309,7884,8078,8309,7884,8078,8309,7884,8078,8309,7884,8078,8309,7884,8078,8309,1,person,person
28418,569678,train2017,"(0, 0, 0.16796875, 0.16796875)",0.0,28418,False,True,True,6089,22137,22623,6089,22137,22623,6089,22137,22623,6089,22137,22623,6089,22137,22623,6089,22137,22623,6089,22137,22623,6089,22137,22623,1,person,person
